Number,Region,Name,Type 1,Type 2,HP,Attack,Defence,Sp Attack,Sp Defence,Speed,Move 1,Move 2,Move 3,Move 4,Description
120,Kanto,Staryu,Water,,90,45,55,70,55,85,Tackle,Harden,Water Gun,,"Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs. "
121,Kanto,Starmie,Water,Psychic,120,75,85,100,85,115,Tackle,Harden,Hydro Pump,Psychic,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon's body glows in seven colors. 
122,Kanto,Mr. Mime,Psychic,Fairy,100,45,65,100,120,90,Pound,Confusion,Meditate,Psychic,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real. "
123,Kanto,Scyther,Bug,Flying,130,110,80,55,80,105,Double Team,Agility,Slash,X-Scissor,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon's scythes are so effective, they can slice through thick logs in one wicked stroke. "
124,Kanto,Jynx,Ice,Psychic,125,50,35,115,95,95,Pound,Lick,Ice Punch,Psychic,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing. "
125,Kanto,Electabuzz,Electric,,125,83,57,95,85,105,Thunder Shock,Leer,Thunder Punch,Thunder,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods. "
126,Kanto,Magmar,Fire,,125,95,57,100,85,93,Ember,Leer,Fire Punch,Flamethrower,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon's fiery bursts create heat waves that ignite grass and trees in its surroundings. "
127,Kanto,Pinsir,Bug,,125,125,100,55,70,85,Harden,Brick Break,Swords Dance,X-Scissor,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe's body when the pincer closes, making it tough for the foe to escape. "
128,Kanto,Tauros,Normal,,135,100,95,40,70,110,Tackle,Horn Attack,Leer,Take Down,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself. "
129,Kanto,Magikarp,Water,,80,10,55,15,20,80,Tackle,,,,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is. "
130,Kanto,Gyarados,Water,Flying,155,125,79,60,100,81,Bite,Leer,Outrage,Hydro Pump,"When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon's wildly violent nature. "
131,Kanto,Lapras,Water,Ice,190,85,80,85,95,60,Water Gun,Growl,Ice Beam,Blizzard,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain. "
132,Kanto,Ditto,Normal,,108,48,48,48,48,48,Transform,,,,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong. "
133,Kanto,Eevee,Normal,,115,55,50,45,65,55,Tackle,Growl,Quick Attack,,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve. 
134,Kanto,Vaporeon,Water,,190,65,60,110,95,65,Quick Attack,Water Gun,Bite,Hydro Pump,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water. 
135,Kanto,Jolteon,Electric,,125,65,60,110,95,130,Quick Attack,Thunder Shock,Bite,Thunder,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles. "
136,Kanto,Flareon,Fire,,125,130,60,95,110,65,Quick Attack,Ember,Bite,Flamethrower,"Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot. This Pokémon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit. "
137,Kanto,Porygon,Normal,,125,60,70,85,75,40,Tackle,Agility,Psybeam,Tri Attack,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy-protected so it cannot be duplicated by copying. 
138,Kanto,Omanyte,Rock,Water,95,40,100,90,55,35,Leer,Water Gun,,,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell. "
139,Kanto,Omastar,Rock,Water,130,60,125,115,70,55,Leer,Water Gun,Rock Throw,Hydro Pump,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous. "
140,Kanto,Kabuto,Rock,Water,90,80,90,55,45,55,Scratch,Leer,,,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years. "
141,Kanto,Kabutops,Rock,Water,120,115,105,65,70,80,Slash,Leer,Rock Throw,Swords Dance,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water-dweller to living on land as evident from the beginnings of change in its gills and legs. 
142,Kanto,Aerodactyl,Rock,Flying,140,105,65,60,75,130,Wing Attack,Bite,Rock Throw,Agility,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times. 
143,Kanto,Snorlax,Normal,,220,110,65,65,110,30,Tackle,Defence Curl,Headbutt,Body Slam,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play. 
144,Kanto,Articuno,Ice,Flying,150,85,100,95,125,85,Gust,Leer,Ice Beam,Blizzard,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall. "
145,Kanto,Zapdos,Electric,Flying,150,90,85,125,90,100,Peck,Leer,Thunderbolt,Thunder,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts. 
146,Kanto,Moltres,Fire,Flying,150,100,90,125,85,90,Wing Attack,Leer,Ember,Flamethrower,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself. "
147,Kanto,Dratini,Dragon,,101,64,45,50,50,50,Leer,Slam,,,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels. 
148,Kanto,Dragonair,Dragon,,121,84,65,70,70,70,Leer,Slam,Outrage,,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from its crystals on its neck and tail. 
149,Kanto,Dragonite,Dragon,Flying,151,134,95,100,100,80,Leer,Slam,Outrage,Wing Attack,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land. 
150,Kanto,Mewtwo,Psychic,,166,110,90,154,90,130,Confusion,Agility,Calm Mind,Psychic,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon's body, they failed to endow Mewtwo with a compassionate heart. "
151,Kanto,Mew,Psychic,,160,100,100,100,100,100,Pound,Confusion,Transform,Psychic,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people. "
152,Johto,Chikorita,Grass,,105,49,65,49,65,45,Tackle,Growl,Razor Leaf,,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around. "
153,Johto,Bayleef,Grass,,120,62,80,63,80,60,Tackle,Growl,Razor Leaf,Body Slam,Bayleef's neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy. 
154,Johto,Meganium,Grass,,140,82,100,83,100,80,Tackle,Growl,Razor Leaf,Petal Blizzard,"The fragrance of Meganium's flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe's fighting spirit. "
155,Johto,Cyndaquil,Fire,,99,52,43,60,50,65,Tackle,Leer,Ember,,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames sputter fitfully with incomplete combustion. "
156,Johto,Quilava,Fire,,118,64,58,80,65,80,Tackle,Leer,Ember,Double-Edge,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foes with flames. 
157,Johto,Typhlosion,Fire,,138,84,78,109,85,100,Tackle,Leer,Ember,Flamethrower,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders. 
158,Johto,Totodile,Water,,110,65,64,44,48,43,Scratch,Leer,Water Gun,,"Despite the smallness of its body, Totodile's jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury. "
159,Johto,Croconaw,Water,,125,80,80,59,63,58,Scratch,Leer,Water Gun,Bite,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in. "
160,Johto,Ferakigatr,Water,,145,105,100,79,83,78,Scratch,Leer,Water Gun,Hydro Pump,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed. "
161,Johto,Sentret,Normal,,95,46,34,35,45,20,Scratch,Defence Curl,,,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear. "
162,Johto,Furret,Normal,,145,76,64,45,55,90,Scratch,Defence Curl,Slam,Sucker Punch,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet. "
163,Johto,Hoothoot,Normal,Flying,120,30,30,36,56,50,Tackle,Growl,Peck,,"Hoothoot has an internal organ that senses and tracks the earth's rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day. "
164,Johto,Noctowl,Normal,Flying,160,50,50,76,96,70,Tackle,Growl,Peck,Zen Headbutt,"Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight. "
165,Johto,Ledyba,Bug,Flying,100,20,30,40,80,55,Tackle,Swift,Agility,,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid's scent. 
166,Johto,Ledian,Bug,Flying,115,35,50,55,110,85,Tackle,Swift,Agility,Bug Buzz,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this-the Pokémon uses the light of the stars as its energy. "
167,Johto,Spinarak,Bug,Poison,100,60,40,40,40,30,Poison Sting,String Shot,,,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web's strands. 
168,Johto,Ariados,Bug,Poison,130,90,70,60,60,40,Poison Sting,String Shot,Sucker Punch,Poison Jab,Ariados's feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing. 
169,Johto,Crobat,Poison,Flying,145,90,80,70,80,130,Cross Poison,Confuse Ray,Wing Attack,Venoshock,"If this Pokémon is flying by fluttering only a pair of wings on either the forelegs or hind legs, it's proof that Crobat has been flying a long distance. It switches the wings it uses if it is tired. "
170,Johto,Chinchou,Water,Electric,135,38,38,56,56,67,Bubble,Spark,Thunder Wave,,Chinchou lets loose positive and negative electrical charges from its two antennas to make its prey faint. This Pokémon flashes its electric lights to exchange signals with others. 
171,Johto,Lanturn,Water,Electric,185,58,58,76,76,67,Bubble,Spark,Bubble Beam,Discharge,"Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon's light rising from the depths where it swims. It gives the sea an appearance of a starlit night. "
172,Johto,Pichu,Electric,,80,40,15,35,35,60,Thunder Shock,Charm,Thunder Wave,,Pichu charges itself with electricity more easily on days with thunderclouds or when the air is very dry. You can hear the crackling of static electricity coming off this Pokémon. 
173,Johto,Cleffa,Fairy,,110,25,28,45,55,15,Pound,Charm,,,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew. "
174,Johto,Igglybuff,Normal,Fairy,150,30,15,40,20,15,Pound,Charm,,,Igglybuff's vocal cords are not sufficiently developed. It would hurt its throat if it were to sing too much. This Pokémon gargles with freshwater from a clean stream. 
175,Johto,Togepi,Fairy,,95,20,65,40,65,20,Metronome,Charm,,,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon then stores up feelings of happiness inside its shell, then shares them with others. "
176,Johto,Togetic,Fairy,Flying,115,40,85,80,105,40,Metronome,Charm,Fairy Wind,Double-Edge,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person. "
177,Johto,Natu,Psychic,Flying,100,50,45,70,45,70,Peck,Leer,,,"Natu cannot fly because its wings are not yet fully grown. If your eyes meet with this Pokémon's eyes, it will stare back intently at you. But if you move even slightly, it will hop away to safety. "
178,Johto,Xatu,Psychic,Flying,125,75,70,95,70,95,Peck,Leer,Air Slash,Psychic,Xatu stands rooted and still in one spot all day long. People believe that this Pokémon does so out of fear of the terrible things it has foreseen in the future. 
179,Johto,Mareep,Electric,,115,40,40,65,45,35,Tackle,Growl,,,"Mareep's fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows. "
180,Johto,Flaaffy,Electric,,130,55,55,80,60,45,Tackle,Growl,Thunder Shock,,Flaaffy's wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity. 
181,Johto,Ampharos,Electric,,150,75,75,115,90,55,Tackle,Growl,Thunder Shock,Thunder,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away. 
182,Johto,Bellossom,Grass,,135,80,85,90,100,50,Growth,Acid,Leaf Blade,Petal Dance,"When Bellossom gets exposed to plenty of sunlight, the leaves ringing its body begin to spin around. This Pokémon's dancing is renowned in the southern lands. "
183,Johto,Marill,Water,Fairy,130,20,50,20,50,40,Tackle,Water Gun,,,"Marill's oil-filled tail acts much like a life preserver. If you see just its tail bobbing on the water's surface, it's a sure indication that this Pokémon is diving beneath the water to feed on aquatic plants. "
184,Johto,Azumarill,Water,Fairy,160,50,80,50,80,50,Tackle,Water Gun,Double-Edge,Hydro Pump,"Azumarill's long ears are indispensable sensors. By focusing its hearing, this Pokémon can identify what kinds of prey are around, even in rough and fast-running rivers. "
185,Johto,Sudowoodo,Rock,,130,100,115,30,65,30,Slam,Rock Throw,Low Kick,Double-Edge,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter. "
186,Johto,Politoad,Water,,150,75,75,90,100,70,Bubble,Pound,Bubble Beam,Hyper Voice,"The curled hair on Politoed's head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers. "
187,Johto,Hoppip,Grass,Flying,95,35,40,35,55,50,Tackle,Tail Whip,,,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away. "
188,Johto,Skiploom,Grass,Flying,115,45,50,45,65,80,Tackle,Tail Whip,Energy Ball,,"Skiploom's flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer. "
189,Johto,Jumpluff,Grass,Flying,135,55,70,55,85,110,Tackle,Tail Whip,Energy Ball,Acrobatics,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
190,Johto,Aipom,Normal,,115,70,55,40,55,85,Scratch,Tail Whip,Swift,Sand Attack,"Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy."
191,Johto,Sunkern,Grass,,90,30,30,30,30,30,Growth,Razor Leaf,,,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew. "
192,Johto,Sunflora,Grass,,135,75,55,105,85,30,Growth,Razor Leaf,Double-Edge,Seed Bomb,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night. 
193,Johto,Yanma,Bug,Flying,125,65,45,75,45,95,Tackle,Wing Attack,Double Team,Bug Buzz,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey. 
194,Johto,Wooper,Water,Ground,115,45,45,25,25,15,Water Gun,Tail Whip,,,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film. "
195,Johto,Quagsire,Water,Ground,155,85,85,65,65,35,Water Gun,Tail Whip,Muddy Water,Earthquake,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry. "
196,Johto,Espeon,Psychic,,125,65,60,130,95,110,Quick Attack,Tail Whip,Psybeam,Psychic,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm. 
197,Johto,Umbreon,Dark,,155,65,110,60,130,65,Quick Attack,Tail Whip,Pursuit,Feint Attack,Umbreon evolved as a result of exposure to the moon's waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack. 
198,Johto,Murkrow,Dark,Flying,120,85,42,85,42,91,Peck,Pursuit,Wing Attack,Sucker Punch,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women. 
199,Johto,Slowking,Water,Psychic,155,75,80,100,110,30,Tackle,Growl,Water Pulse,Psychic,"Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off. "
200,Johto,Misdreavus,Ghost,,120,60,60,85,85,85,Confuse Ray,Astonish,Psybeam,Shadow Ball,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition. "
201,Johto,Unown,Psychic,,108,72,48,72,48,48,Hidden Power,,,,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known. "
202,Johto,Wobbuffet,Psychic,,250,22,58,22,58,33,Counter,Mirror Coat,,,"If two or more Wobbuffet meet, they will turn competitive and try to outdo each other's endurance. However, they may try to see which one can endure the longest without food. Trainers need to beware of this habit. "
203,Johto,Girafarig,Normal,Psychic,130,80,65,90,65,85,Tackle,Growl,Confusion,Stomp,"Girafarig's rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite. "
204,Johto,Pineco,Bug,,110,65,90,35,35,15,Tackle,Bug Bite,,,"Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree, it drops down to the ground and explodes with no warning. "
205,Johto,Forretress,Bug,Steel,135,90,140,60,60,40,Tackle,Bug Bite,Take Down,Iron Defence,"Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey, but it does so at such a quick pace that the shell's inside cannot be seen. "
206,Johto,Dunsparce,Normal,,160,70,70,65,65,45,Defence Curl,Pursuit,Screech,Double-Edge,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground. 
207,Johto,Gligar,Ground,Flying,125,75,105,35,65,85,Poison Sting,Harden,Acrobatics,X-Scissor,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb. "
208,Johto,Steelix,Steel,Ground,135,85,200,55,65,30,Tackle,Harden,Double-Edge,Iron Tail,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth's core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground. 
209,Johto,Snubbull,Fairy,,120,80,50,40,40,30,Tackle,Tail Whip,,,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee. "
210,Johto,Granbull,Fairy,,150,120,75,60,60,45,Tackle,Tail Whip,Crunch,Play Rough,"Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately. "
211,Johto,Qwilfish,Water,Poison,125,95,85,55,55,85,Water Gun,Poison Sting,Harden,Poison Jab,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging. "
212,Johto,Scizor,Bug,Steel,130,130,100,55,80,65,Agility,Metal Claw,Swords Dance,X-Scissor,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature. 
213,Johto,Shuckle,Bug,Rock,80,10,230,10,230,5,Withdraw,Rock Throw,Bug Bite,Stone Edge,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice. "
214,Johto,Heracross,Bug,Fighting,140,125,75,40,95,85,Horn Attack,Leer,Counter,Brick Break,"Heracross charges in a straight line at its foe, slips beneath the foe's grasp, and then scoops up and hurls the opponent with its mighty horn. This Pokémon even has enough power to topple a massive tree. "
215,Johto,Sneasel,Dark,Ice,115,95,55,35,75,115,Scratch,Leer,Feint Attack,Icy Wind,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away. 
216,Johto,Teddiursa,Normal,,120,80,50,50,50,40,Scratch,Charm,,,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill. 
217,Johto,Ursaring,Normal,,150,130,75,75,75,55,Scratch,Charm,Slash,Feint Attack,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day. "
218,Johto,Slugma,Fire,,100,40,40,70,40,20,Ember,Harden,,,"Molten magma courses throughout Slugma's circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size. "
219,Johto,Magcargo,Fire,Rock,110,50,120,80,80,30,Ember,Harden,Rock Throw,Flamethrower,Magcargo's shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile - just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma. 
220,Johto,Swinub,Ice,Ground,110,50,40,30,30,50,Tackle,Icy Wind,,,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs. 
221,Johto,Piloswine,Ice,Ground,160,100,80,60,60,50,Tackle,Icy Wind,Earthquake,Blizzard,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice. 
222,Johto,Corsola,Water,Rock,125,55,95,65,95,35,Tackle,Harden,Ancient Power,Bubble Beam,"Corsola's branches glitter very beautifully in seven colors when they catch sunlight. If any branch breaks off, this Pokémon grows it back in just one night. "
223,Johto,Remoraid,Water,,95,65,35,65,35,65,Water Gun,Bubble Beam,,,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers. "
224,Johto,Octillery,Water,,135,105,75,105,75,45,Water Gun,Bubble Beam,Psybeam,Hydro Pump,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape. "
225,Johto,Delibird,Ice,Flying,105,55,45,65,45,75,Present,Drill Peck,,,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world's highest mountain, thanks to one of these Pokémon sharing its food. "
226,Johto,Mantine,Water,Flying,125,40,70,80,140,70,Tackle,Bubble,Wing Attack,Hydro Pump,"On sunny days, schools of Mantine can be seen elegantly leaping over the sea's waves. This Pokémon is not bothered by the Remoraid that hitches rides. "
227,Johto,Skarmory,Steel,Flying,125,80,140,40,70,70,Peck,Leer,Steel Wing,Air Slash,"Skarmory is entirely encased in hard, protective armor. This Pokémon flies at close to 190 mph. It slashes foes with its wings that possess swordlike cutting edges. "
228,Johto,Houndour,Dark,Fire,105,60,30,80,50,65,Ember,Leer,,,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon's remarkable teamwork is unparalleled. 
229,Johto,Houndoom,Dark,Fire,135,90,50,110,80,95,Ember,Leer,Feint Attack,Flamethrower,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves. "
230,Johto,Kingdra,Water,Dragon,135,95,95,95,95,85,Water Gun,Leer,Dragon Pulse,Hydro Pump,Kingdra lives at extreme ocean depths that are otherwise uninhabited. It has long been believed that the yawning of this Pokémon creates spiraling ocean currents. 
231,Johto,Phanpy,Ground,,150,60,60,40,40,40,Tackle,Growl,,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed. "
232,Johto,Donphan,Ground,,150,120,120,60,60,50,Tackle,Growl,Rollout,Double-Edge,"Donphan's favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can't stop very easily. "
233,Johto,Porygon2,Normal,,145,80,90,105,95,60,Tackle,Defence Curl,Psybeam,Tri Attack,Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own. 
234,Johto,Stantler,Normal,,133,95,62,85,65,85,Tackle,Leer,Stomp,Take Down,"Stantler's magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers. "
235,Johto,Smeargle,Normal,,115,20,35,20,45,75,Sketch,Sketch,Sketch,Sketch,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found. "
236,Johto,Tyrogue,Fighting,,95,35,35,35,35,35,Tackle,,,,"Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods. "
237,Johto,Hitmontop,Fighting,,110,95,95,35,110,70,Rolling Kick,Pursuit,Counter,Agility,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking. "
238,Johto,Smoochum,Ice,Psychic,105,30,15,85,65,65,Pound,Powder Snow,Confusion,,"Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn't become dirty. "
239,Johto,Elekid,Electric,,105,63,37,65,55,95,Leer,Thunder Punch,Thunder Shock,,"Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself. "
240,Johto,Magby,Fire,,105,75,37,70,55,83,Leer,Ember,Fire Punch,,"Magby's state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames. "
